Tweet,Sentiment
@Being_Humor Darkha sued the hell out of small blogger Chaitanya kunte,neutral
@narendramodi ji..  hv idea about Greta Thunberg..!  is a Swedish school girl (Env. actv) on climate change whose c https://t.co/tWbx8ZfgoI,neutral
"Heart-melting emotional song #NeeKallalona lyrical video from #M3 out now on @MangoMusicLabel 
 ICYMI  https://t.co/PxeIndGKdg",neutral
Congratulations to Himanshu Batra and Astha Bishnoi from NMIMS as winners and Minal Parmar and Umang Jayantilal Gad https://t.co/ctWczBi0Ed,neutral
"#BookReview 
THE RETURN JOURNEY by @salvichaitanya 

Rating: 

Quick review: https://t.co/JhwGcyu4H5

Full revi https://t.co/0bkn6tyfbT",neutral
"Look here....
And let me know in the comments... https://t.co/dV1pwBHsMT",neutral
@Chaitanya_Krip that is called enmeshment. are you rapist within? are you a pedophile? visceral reaction? should we https://t.co/A7dOiLve4T,neutral
"@Chaitanya_Krip you're contradicting yourself, first you say a no, a rapists perspective isn't valid, then you say https://t.co/EctoWcNCff",neutral
@LaurenAlexa84 That's absolutely true...,negative
"#reality #Facts irs fact buddy.....
Watch thisssss https://t.co/lfj3Hh9Yod",neutral
@137pm Language of humanity......,negative
@SabirIkbal6 Hi! We are always listening to what our customers have to say about us. Thanks for your feedback. I'll https://t.co/toGMfFAamQ,positive
"@sagar2Sujal Hi! As discussed, hope I've shared all the necessary info with you. If you need more help, I'm just a https://t.co/0Y3Nw2RaDX",positive
"Chaitanya India Fin Credit, a microlender in which the Flipkart co-founder has a majority stake, had earlier this m https://t.co/TY62EeH72h",neutral
"@TheTwittyOne You see the big fat empty BAG on shoulder and Books in hands.
@ASUS wants to replace books.  https://t.co/hqUk63VnqR",negative
"@ibalajisrao @ncbn @ysjagan if you are of 40 years now you might be studying inter in 1995 in Vidwan, vignan, Vikas https://t.co/lWFnWWFCVY",neutral
"Chaitanya India Fin Credit, a microlender in which #SachinBansal has a majority stake, had earlier this month said https://t.co/FwiYLM6Uef",neutral
@b_kbmanjunath @DoT_India Hi! Sorry couldn't share an update earlier. I am working on this to make sure you are goo https://t.co/LlN8kTCrcO,negative
"Naga Chaitanya To Dismiss Caste Barrier In His ""Love Story""

https://t.co/fKnUtH2WB4

#NagaChaitanya #SaiPallavi https://t.co/Yh0SoglkP3",neutral
"@chaitu1807 Dear Chaitanya, we're sorry you had this experience. Kindly DM your registered contact details so that we can connect with you.",negative
"@chaitu1807 Dear Chaitanya, we're sorry you had this experience. Kindly DM your registered contact details so that we can connect with you.",negative
@chaitanyajoshi Chaitanya...Sickularism karat karat 1 lakh Crore chorle yha lokanni ...so ur 136 Cr seems like pett https://t.co/3A0pNN6Nql,neutral
@GabbbarSingh Astrologer gives all round predictions.,neutral
propagated by brainless Odias n Bengalis.(But I agree that Chaitanya was in Odisha in wrong timr).Moreover the stuf https://t.co/JIKAyUqjkP,neutral
No.Chaitanya was there in 1500s.Senas did defeat Mamluks but ultimately fell due to reasons like millitary n lack o https://t.co/6o1DQNkv8d,neutral
"@Aban__Ind @BangaliHindu @dr_dsandeep @lobonkha Vaishanavism,buddhism,sri chaitanya reasons for Bengali Hindus bein https://t.co/bFI2Enz2nc",neutral
@kunalkamra88 At least you got more stand-up material.,negative
"@nckreddy Hi Chaitanya, please accept our deepest apologies for not getting in touch with you because of 6 months l https://t.co/cxc4ifNBJ8",neutral
"@Chaitanya_Krip I never thought of it that way until you pointed it out...I never really believe that there is ""evi https://t.co/5TMaRCJcAh",negative
don't you need about AP &amp; Amaravathi people problem ? @PawanKalyan @nitin_gadkari @PiyushGoyal @tarak9999 https://t.co/Mskm8twKzU,neutral
@narendramodi @AmitShah @RSSorg  BJP feels Patriotism &amp; Development is their patent.1st of al must be defined wt's https://t.co/AUt21xAaDF,neutral
Naga Chaitanya is a low-caste guy? Naga Chaitanya is a low-casteguy? https://t.co/jLUoeBK1eu https://t.co/xYoCWYD2uI,neutral
@chaitanya_bal So are we!  https://t.co/G1uHjpLYuW,neutral
"Naga Chaitanya is a low-caste guy?
Read More: https://t.co/vnEjRMfKvm
#NagaChaitanya #LoveStory #SaiPallavi https://t.co/zujshIoQ9n",neutral
"@Bharathwajspb Hi! We are constantly working to upgrade our network. For now, I'm noting your address in our future https://t.co/3O5ZfbmoIV",negative
@I_Chaitanya A for AMEN ,neutral
"#NagaChaitanya to rock this episode in #LoveStory 

https://t.co/OjGE3DY2Zu",neutral
"#SachinBansal steps down from the #Ujjivan Small Finance Bank board as entity owned and controlled by him, Chaitany https://t.co/D07ZSEW6eb",neutral
@BDUTT Speak for yourself !!! Keep losing at the ballot and claim you are the voice of the people.,negative
"Return to the Table of Contents for this Book

(Marhati Raga - Disha)
 
 Text 63-64
 Hari Rama Rama Gaurachand aar https://t.co/wbb1C80tPS",neutral
vijayawada chaitanya college teacher fucking wit student - https://t.co/GGSaXCFGF1,neutral
"@ChaitanyaHariAg Hey Chaitanya! No worries, let's figure this for you. https://t.co/HMtfK13nld",neutral
@iratrivedi Beware of new age yogis,neutral
@FaraaahKhan @amritabhinder @TarekFatah @prasannavishy These kinds of things will invite extreme wrath and curse on https://t.co/ZUKmozb7I9,neutral
@YunaKim_4 Chaitanya. Thanks ,positive
@Swamy39 @TwitterIndia @ishkarnBHANDARI @Twitter What happened,neutral
"Let the person who's in bondage be in bondage, and you start being free...

 https://t.co/vo7m59Ylmu",neutral
"@SinghIs34119382 Hi! We are always working to enhance our network. To resolve this, a site upgradation at your loca https://t.co/9sMSeZDjwj",neutral
All @_sachinbansal's moves till date are aimed at quickly meeting existing licensing requirements - the acquisition https://t.co/urtlkfaIeh,neutral
@P_S_Chaitanya @NorbertElekes Yesterday a girl in Bihar was taken to a bigger hospital who returned from China last https://t.co/8bIsYceDJJ,neutral
